COD_COMPRA,NOM_CLIENTE,VLR_COMPRA,DAT_COMPRA,BY_INTERNET
700031,Merrill Hewitt,6108.65,2013-01-15 19:59:52,0
700032,Alea Nieves,1805.84,2012-12-05 20:54:13,0
700033,Castor Rojas,7789.95,2013-05-07 15:16:17,1
700034,Shea Bailey,5856.64,2011-04-19 13:55:45,1
700035,Howard Rosales,1072.94,2011-09-12 10:58:35,0
700036,Gisela Strickland,5013.44,2013-05-20 05:25:55,1
700037,Ferris Dodson,1290.10,2011-01-25 22:06:03,1
700038,Ciara Moore,6229.25,2011-09-01 08:54:42,0
700039,Melvin Lowery,4270.57,2016-11-10 06:15:21,1
700040,Justina Ochoa,2135.85,2011-02-19 13:37:28,0
700041,Maggy Colon,3868.20,2012-01-03 06:10:45,0
700042,Alexandra Gray,8294.45,2015-09-01 14:39:26,1
700043,Kaitlin Reyes,7116.65,2011-03-22 06:56:21,0
700044,Wesley Torres,4625.72,2013-04-08 13:26:00,1
700045,Alan Giles,2275.94,2012-04-30 00:24:26,0
700046,Petra Gross,6635.06,2017-01-24 12:19:07,0
700047,Catherine Hernandez,1753.32,2017-03-27 21:15:10,0
700048,Kessie Cantu,6730.99,2010-06-17 16:08:32,1
700049,Berk Banks,6746.09,2012-02-25 18:47:26,0
700050,Keelie Weaver,4826.41,2014-03-10 17:39:27,1
700051,Allistair Valentine,3621.35,2017-05-24 14:11:39,1
700052,Edan Mathews,3801.43,2016-06-16 18:32:59,1
700053,Noah Villarreal,7448.42,2012-12-03 09:38:12,1
700054,Odette Boyd,300.18,2017-11-21 17:22:36,1
700055,Macaulay Hardin,5736.85,2015-09-27 19:26:12,1
700056,Gisela Juarez,4444.92,2013-06-25 09:29:05,1
700057,Xaviera Guerrero,7527.22,2017-05-30 14:23:32,1
700058,Miriam Carlson,8861.20,2013-04-13 13:44:45,1
700059,Yvonne Crawford,6729.85,2010-10-18 03:51:17,0
700060,Simone Nolan,8680.89,2015-07-20 22:11:47,1
700061,Madison Estes,8054.11,2017-11-02 06:22:34,0
700062,Jelani Dawson,3473.70,2014-07-23 23:11:21,1
700063,Dakota Ramirez,7355.18,2015-08-11 20:20:32,0
700064,Tamekah Bridges,2320.24,2011-09-20 09:53:22,1
700065,Signe Hale,7067.96,2018-03-16 15:13:02,0
700066,Jack Lee,3723.28,2017-05-16 13:43:18,0
700067,Boris Randall,6025.97,2012-11-09 23:25:25,1
700068,Patience Hartman,5823.07,2015-04-27 20:35:33,1
700069,Leslie Shaw,140.94,2017-11-14 05:56:01,0
700070,Jelani Dickson,2200.47,2017-05-09 10:08:01,0
700071,Jerry Morgan,6107.63,2016-02-19 09:06:41,0
700072,Mason Powell,2662.79,2013-09-10 10:34:04,1
700073,Jarrod Battle,833.74,2010-07-22 12:21:06,0
700074,Seth Thompson,8098.61,2017-11-04 03:18:19,0
700075,Jared Ewing,1993.38,2016-06-28 08:19:40,0
700076,Asher Blanchard,3507.14,2010-06-16 13:27:01,1
700077,April Schroeder,3481.10,2015-05-06 11:45:44,0
700078,Adam Harvey,1701.50,2013-01-27 19:38:51,1
700079,Kane Valdez,214.91,2013-05-27 16:59:55,1
700080,Adena Hayden,3178.58,2014-11-12 02:37:22,0
700081,Libby English,1171.18,2015-12-23 12:04:24,1
700082,Nelle Dean,9173.74,2016-09-07 02:25:20,0
700083,Sage Taylor,2368.66,2013-01-22 14:56:06,1
700084,Tucker Hancock,8117.31,2014-11-18 11:18:36,0
700085,Sierra Nguyen,5133.31,2010-12-29 11:40:59,1
700086,Forrest Ruiz,6644.49,2015-08-26 21:03:26,1
700087,Rashad Benton,116.02,2017-08-03 19:31:43,0
700088,Shoshana Strong,9995.70,2015-01-19 01:48:18,0
700089,Sacha Vaughan,7196.68,2010-07-27 07:53:40,0
700090,Russell Wallace,3978.47,2013-07-28 12:48:41,1
700091,Sawyer Kirk,5231.99,2014-03-26 06:10:27,0
700092,Ezra Dickerson,6095.17,2013-10-16 06:08:09,0
700093,Chancellor Bennett,1269.06,2015-12-21 21:32:03,0
700094,Damian Russell,6294.20,2014-11-11 02:24:39,0
700095,Reed Rice,6495.73,2018-01-21 10:03:54,0
700096,Timothy Fry,7088.41,2015-02-13 14:51:36,0
700097,Lavinia Henson,3458.23,2016-03-30 22:50:47,0
700098,Imogene Waters,5683.82,2012-02-16 21:20:25,1
700099,Timothy Mercado,1760.91,2015-10-15 00:09:01,0
700100,Jerome Harmon,9829.41,2018-01-15 16:13:35,0
700101,Abel George,153.80,2013-10-15 19:11:02,0
700102,Adrian Lara,2632.54,2016-02-18 12:15:18,0
700103,Rafael Gentry,9979.73,2014-09-23 03:06:38,0
700104,Gillian Curtis,5846.10,2013-07-06 00:50:12,0
700105,Virginia Foster,3422.79,2017-03-16 22:44:59,1
700106,Delilah York,3909.83,2017-12-15 21:16:01,1
700107,Whilemina Bond,1709.13,2013-07-29 18:58:46,1
700108,Maggie Chambers,2779.47,2013-10-19 17:10:18,1
700109,Jesse Lynn,9168.04,2016-10-21 22:33:53,0
700110,Quamar Abbott,8426.44,2014-06-07 06:50:27,0
700111,Leroy Shepherd,5195.26,2013-02-11 22:14:09,1
700112,Germane Poole,5649.58,2014-05-26 09:18:26,0
700113,Moana Ford,4591.99,2017-07-08 06:03:51,0
700114,Cynthia Parrish,7769.53,2016-05-14 05:42:05,0
700115,Shay Farrell,253.57,2013-05-15 20:47:21,0
700116,Idona Wyatt,7881.65,2012-05-21 06:14:48,1
700117,Demetria Valenzuela,5704.01,2011-06-17 21:13:39,0
700118,Noble Haney,8548.63,2015-10-31 05:24:51,0
700119,Gabriel Campbell,7649.13,2014-02-15 13:38:59,1
700120,Sebastian Small,135.90,2017-07-08 22:23:35,1
700121,Kalia Fuentes,420.97,2011-05-28 18:04:04,0
700122,Marvin Stein,3879.24,2014-01-23 21:38:40,0
700123,Cynthia James,2906.66,2014-10-17 05:36:02,0
700124,Alma Mercer,8512.83,2011-05-06 15:57:50,1
700125,Lydia Summers,7557.40,2010-08-19 21:20:37,1
700126,Moses Guthrie,9094.24,2016-06-06 17:56:51,1
700127,Brennan Terrell,4268.69,2016-04-10 06:41:49,1
700128,TaShya Keller,2195.28,2012-11-16 18:27:26,1
700129,Plato Hodges,6202.04,2015-12-30 09:47:47,0
700130,Xanthus Nunez,247.62,2012-05-25 07:35:13,1
700131,Gabriel Graves,3034.29,2010-05-05 15:47:04,0
700132,Zelenia Gonzalez,5771.00,2010-08-30 12:46:28,0
700133,Echo Watkins,4405.28,2014-11-18 04:49:41,1
700134,Nasim Howard,178.54,2016-06-11 17:15:24,1
700135,Clayton Oneil,3217.66,2016-12-23 18:07:57,0
700136,Britanni Nielsen,2315.08,2015-09-13 12:47:31,0
700137,Camden Lynch,7478.34,2016-07-14 11:45:26,1
700138,Keaton Medina,7275.35,2012-09-26 18:43:45,1
700139,Rae Arnold,6516.53,2015-06-27 17:42:40,0
700140,Wynne Chang,9149.06,2013-12-20 13:21:35,0
700141,Callie Flores,3953.81,2016-06-19 09:52:47,0
700142,Calvin Cross,7786.76,2017-04-29 22:59:00,1
700143,Giacomo Mcintosh,5312.18,2014-04-21 02:11:02,1
700144,Keegan Talley,9438.94,2010-08-19 02:47:51,1
700145,Wayne Joyce,9928.44,2013-10-03 12:03:06,0
700146,Boris Bullock,9508.11,2013-11-12 08:48:15,0
700147,Elizabeth Battle,5586.17,2017-01-05 22:44:54,0
700148,Nathaniel Dillard,6307.79,2018-03-19 01:47:18,0
700149,Amity Talley,9781.96,2013-09-22 02:39:22,0
700150,Patrick Simon,2426.27,2010-12-26 01:04:41,1
700151,Orson Blake,8451.11,2016-12-17 06:58:52,1
700152,Hayden Love,7725.00,2018-04-07 17:07:36,1
700153,Amaya Fitzgerald,828.16,2011-09-16 17:18:08,0
700154,Holmes Shaw,9734.74,2012-07-21 01:35:52,0
700155,Charles Gamble,39.22,2014-12-30 15:11:43,1
700156,Ursula Horn,6288.99,2011-09-19 13:34:20,0
700157,Zoe Woods,3056.47,2014-04-28 13:39:37,1
700158,Cedric Kaufman,2080.59,2013-10-17 11:41:32,1
700159,Kareem Dawson,7895.76,2015-04-27 06:34:09,1
700160,Jana Caldwell,2045.75,2011-09-07 07:39:41,0
700161,Gemma Chambers,6580.33,2017-06-20 13:54:24,1
700162,Chiquita Cross,5433.05,2013-10-06 00:59:54,0
700163,Hilel Chan,4289.47,2013-06-10 00:15:38,0
700164,Cade Hensley,1384.68,2010-08-30 15:58:53,0
700165,Macaulay Richmond,8046.30,2014-04-07 06:54:10,1
700166,Jerome Gates,9183.78,2017-12-01 04:32:11,1
700167,Rebecca Craig,6265.86,2014-07-31 14:08:49,1
700168,Carson Hickman,1657.73,2016-05-23 22:26:35,0
700169,Mariam Church,8937.97,2012-06-07 16:17:51,0
700170,Margaret Hardy,7427.02,2013-07-18 05:28:18,0
700171,Wilma Carroll,3572.60,2012-09-03 09:56:18,1
700172,Anjolie Bradford,4098.26,2010-06-27 08:04:27,0
700173,Blake Collier,366.43,2017-08-03 12:33:47,0
700174,Haley Dean,6710.24,2014-07-29 23:19:51,1
700175,Nola Mayo,1658.23,2013-10-30 13:15:10,1
700176,Kyla Sanchez,4756.91,2015-07-24 20:55:37,1
700177,Madeson Willis,6934.11,2014-09-17 22:30:56,0
700178,Lysandra Nolan,8696.68,2017-03-28 18:10:38,1
700179,Brady Stevenson,4876.62,2015-08-02 09:27:40,0
700180,Jesse Carey,5447.43,2010-11-27 12:09:16,1
700181,Ruth Cardenas,7620.49,2013-03-28 20:10:34,0
700182,Lars Lucas,5967.59,2018-01-22 14:35:57,0
700183,Thaddeus Jimenez,7306.21,2015-03-12 19:27:33,0
700184,Rhonda Ayala,6264.08,2013-08-11 19:49:16,0
700185,Dawn Collier,4143.35,2010-08-22 22:47:32,1
700186,Malachi Becker,6461.47,2017-04-07 12:14:45,1
700187,Xaviera Alexander,5538.01,2013-04-12 04:06:10,0
700188,Rachel Blackburn,4745.86,2014-08-21 01:47:34,0
700189,Medge Mcdonald,2230.65,2014-09-02 15:25:36,1
700190,Alfreda Ball,7973.03,2012-02-09 12:53:15,1
700191,Hadassah Barton,3131.76,2015-05-22 12:22:28,0
700192,Gavin Mcneil,9264.97,2016-11-13 23:20:58,0
700193,Tanisha Mccarthy,6117.12,2011-02-25 09:37:45,0
700194,Flynn Vaughn,3822.79,2015-10-07 09:55:23,1
700195,Patricia Savage,13.70,2010-12-29 14:01:39,0
700196,Kelly Bailey,6063.72,2017-08-23 20:11:50,0
700197,Christopher Mcmillan,5653.74,2014-10-24 06:23:21,1
700198,Hedley Johnston,8713.20,2010-12-27 17:37:33,1
700199,Richard Robbins,7653.00,2010-07-20 14:34:13,0
700200,Donovan Ewing,4403.23,2013-09-09 11:42:18,1
700201,Abdul Meadows,9943.29,2010-05-23 08:20:02,0
700202,Brittany Lowe,7388.20,2010-06-03 01:11:27,0
700203,Keaton Adams,7035.12,2013-03-05 04:38:49,0
700204,Price Silva,7093.39,2013-05-18 00:29:12,1
700205,Malachi Bailey,3517.49,2013-02-23 14:27:42,1
700206,Taylor Oneill,9016.60,2010-10-10 22:11:41,0
700207,Quail Mays,9799.47,2015-12-06 15:13:54,0
700208,Ashton Turner,5322.20,2018-03-29 05:16:39,0
700209,William Castillo,9544.85,2017-06-28 00:41:19,0
700210,Abbot Macias,1465.32,2011-01-26 20:10:05,0
700211,Constance Howe,3803.14,2014-04-16 20:59:27,0
700212,Thane Black,6564.41,2012-11-21 17:00:28,1
700213,Joseph Sanford,8819.00,2011-12-02 18:48:40,1
700214,Keefe Branch,8357.46,2010-10-07 14:47:25,1
700215,Phelan Booker,1009.85,2017-10-13 03:53:01,0
700216,Kibo Hensley,6907.36,2012-03-24 02:09:17,0
700217,Keiko Madden,4319.14,2012-10-31 09:45:36,0
700218,Justine Bradford,6360.11,2013-07-02 04:15:40,1
700219,Clayton Shields,1191.72,2013-08-15 09:16:29,0
700220,Miranda Morse,2313.27,2011-04-19 11:52:12,1
700221,Nichole Moody,5765.41,2010-07-26 09:26:10,1
700222,Pascale Dotson,535.74,2012-02-16 18:19:44,1
700223,Courtney Roach,9728.77,2017-01-06 13:36:13,0
700224,Stuart Gamble,926.43,2015-03-15 08:18:11,1
700225,Brody Potter,1605.01,2012-12-28 00:48:05,1
700226,Nasim Mcintyre,9306.67,2015-04-29 17:28:13,1
700227,Craig Meyers,2649.02,2010-06-02 03:27:00,0
700228,Fuller Merritt,642.45,2015-12-06 19:00:58,0
700229,Wanda Dorsey,3706.41,2015-12-07 19:52:32,1
700230,Skyler Rowe,7066.76,2015-03-15 10:36:12,0
700231,Matthew Olsen,5164.42,2010-07-10 12:12:05,0
700232,Clio Molina,5736.04,2015-08-04 03:07:04,0
700233,Harding Travis,5263.60,2017-07-04 02:10:20,0
700234,Colton Tran,7905.86,2013-11-05 11:06:26,0
700235,Miriam Forbes,2331.47,2013-10-06 15:10:55,1
700236,Samson Diaz,7406.73,2016-02-27 06:29:54,0
700237,Carter Walter,4155.90,2018-02-05 15:46:20,0
700238,Stuart Hill,3220.12,2013-06-22 18:10:09,0
700239,Kadeem Burnett,507.16,2015-05-14 05:56:16,1
700240,Dean Lowery,2702.11,2014-11-16 16:11:09,0
700241,Cedric Jordan,9382.21,2012-02-25 13:16:56,1
700242,Jesse Patton,5167.79,2014-01-18 01:45:48,1
700243,Otto Cox,675.76,2013-06-28 08:47:50,0
700244,Kylynn Merrill,6250.18,2010-10-11 19:03:43,0
700245,Cara Hernandez,5971.35,2010-10-14 19:27:29,1
700246,Montana Davis,7427.07,2011-05-21 13:15:55,1
700247,Pandora Hancock,4596.80,2016-05-06 17:40:30,1
700248,Jackson Leon,3571.72,2012-07-28 06:10:27,0
700249,Brent England,4207.35,2013-07-01 07:11:56,1
700250,Kevyn Britt,8918.26,2015-11-30 15:36:45,0
700251,Thaddeus Reed,7574.79,2013-09-13 01:53:29,0
700252,Malik Stephens,6690.08,2016-10-16 05:11:46,0
700253,Amelia Goodwin,9762.04,2015-08-01 05:31:25,1
700254,Flavia Cantrell,1509.73,2017-09-15 20:25:28,0
700255,Ori Mcclure,9180.03,2011-02-15 05:14:20,1
700256,Mark Warner,5134.84,2010-05-01 07:14:40,0
700257,Serena Burnett,2249.45,2011-01-02 23:13:00,1
700258,Cedric Benson,2103.65,2016-07-02 21:57:45,0
700259,Burton Walsh,805.65,2018-01-23 18:59:47,1
700260,Walker Bartlett,3484.45,2014-08-02 20:53:21,1
700261,Fredericka Thomas,9730.19,2015-07-10 17:25:58,1
700262,Forrest Hinton,41.00,2017-07-16 14:27:04,0
700263,Leilani Cardenas,4275.41,2014-07-26 11:39:43,1
700264,Audrey Fowler,4186.25,2018-02-03 07:15:05,0
700265,Zane Morse,5624.68,2018-03-18 02:54:31,1
700266,Jemima Wade,4995.52,2010-07-16 22:51:38,0
700267,Ivana Kaufman,8915.28,2013-04-25 05:35:22,0
700268,Alisa Weber,8125.60,2015-03-05 17:57:38,0
700269,Emery Payne,3793.53,2017-10-24 06:29:30,0
700270,Jaquelyn Gordon,5846.05,2010-11-11 01:01:32,1
700271,Jameson Santos,3283.59,2011-05-26 16:34:11,1
700272,Quentin Tate,676.87,2015-11-25 18:43:59,1
700273,Neville Franklin,6668.91,2012-10-08 03:55:21,1
700274,Marshall Simon,2658.48,2015-06-28 23:08:50,1
700275,Brady Douglas,6795.91,2013-08-26 17:38:29,0
700276,Samantha Stafford,4795.50,2015-05-16 13:43:57,1
700277,Flynn Walsh,3195.66,2016-03-18 12:17:21,0
700278,Sydnee Paul,8211.38,2012-04-14 01:58:43,1
700279,Hyacinth Cantrell,66.63,2014-01-17 21:22:43,0
700280,Tashya Mckay,5246.21,2011-02-03 03:15:20,0
700281,Coby Lee,6416.95,2015-12-29 03:07:46,0
700282,Ariel Humphrey,9302.54,2018-04-04 16:28:56,1
700283,Leonard Gillespie,8361.64,2011-12-01 05:41:50,0
700284,Uta Waters,4099.52,2011-07-31 04:38:18,1
700285,Lars Smith,7431.47,2016-01-21 09:18:26,1
700286,Hilel Hill,6803.77,2013-04-16 20:28:34,0
700287,Germaine Morton,7993.35,2010-05-13 03:09:24,0
700288,September Mcclain,7456.05,2017-03-25 19:31:24,0
700289,Merritt Spence,9601.48,2013-03-10 11:07:22,0
700290,Wyatt Harper,4364.68,2015-08-20 22:39:37,0
700291,Benedict Gibbs,5540.25,2018-02-12 03:33:38,0
700292,Hasad Young,4524.56,2013-10-12 13:21:25,1
700293,Brody Reid,5748.76,2014-05-05 07:04:50,1
700294,Kyla Solis,4097.70,2010-12-17 11:53:05,0
700295,Jeanette Fitzgerald,6002.23,2012-05-08 20:03:48,1
700296,Abbot Evans,4273.08,2015-12-26 06:37:22,1
700297,Willow Clarke,701.71,2015-04-04 04:05:36,0
700298,Dacey Sawyer,4375.13,2010-12-09 16:23:25,1
700299,Thaddeus May,8658.42,2010-12-05 08:22:49,0
700300,Andrew Maddox,7834.75,2012-08-26 19:38:51,0
700301,Chelsea Campbell,1503.21,2017-07-15 11:20:37,1
700302,Ursula Dunlap,9124.43,2012-12-20 10:08:34,1
700303,Andrew Rasmussen,8171.00,2012-05-02 04:40:40,1
700304,Remedios Simmons,7459.80,2011-10-29 02:26:39,0
700305,Savannah Melendez,1686.69,2017-12-02 14:39:10,0
700306,Madaline Dorsey,5266.41,2013-09-23 09:07:18,1
700307,Tucker Freeman,4878.24,2017-06-20 22:06:42,0
700308,Driscoll Mcconnell,7661.52,2014-10-18 22:53:34,1
700309,Ivan Wright,4612.34,2010-12-02 07:47:39,1
700310,Linus Mcknight,8241.31,2016-06-08 20:18:45,0
700311,Eden Donaldson,4802.30,2014-03-28 17:45:06,0
700312,Quentin Foster,1160.30,2016-03-10 01:25:33,0
700313,Jacob Mcknight,1791.17,2013-01-31 08:00:30,1
700314,Jordan Lester,5852.05,2017-03-15 06:23:19,1
700315,Yuri Russo,8279.55,2016-04-30 12:10:41,0
700316,Zephania Walton,2418.42,2017-01-12 15:13:03,0
700317,Clayton Gonzalez,1067.97,2015-11-29 12:28:24,1
700318,Aspen Grant,5298.02,2013-08-05 12:11:19,1
700319,Lucius Blanchard,9434.03,2013-12-15 18:46:22,1
700320,Daria Ratliff,5480.42,2013-12-10 06:39:27,1
700321,Amelia Knight,3230.30,2013-12-16 12:29:15,0
700322,Nathan Silva,5452.28,2016-03-02 11:22:46,1
700323,Zachary Mitchell,5627.54,2013-03-08 00:21:20,0
700324,Kiayada Dejesus,5934.13,2017-03-04 05:37:00,1
700325,Yoshio Weaver,2738.33,2017-10-23 14:50:56,1
700326,Harrison Frazier,4953.29,2014-01-23 12:21:53,1
700327,Xyla Villarreal,3791.58,2010-10-04 18:31:04,0
700328,Macey Vaughan,4867.04,2017-02-03 05:04:17,1
700329,Porter Collier,6850.66,2017-07-20 06:39:27,0
700330,Leigh Kim,1342.78,2017-03-11 08:06:40,0
700331,Stone Lopez,5928.00,2011-05-25 08:53:58,1
700332,Keefe Pate,3727.85,2014-04-15 20:41:03,0
700333,April Walker,4944.62,2017-11-13 11:35:25,0
700334,Castor Benjamin,4545.57,2015-05-17 09:20:56,0
700335,Mia Park,3295.97,2014-04-24 21:13:03,0
700336,Kirk Montgomery,3538.30,2015-05-03 22:37:17,1
700337,Irma Gibson,8335.46,2014-11-24 21:32:51,1
700338,McKenzie Holt,6387.82,2014-02-19 12:31:04,0
700339,Samuel Leonard,9453.65,2011-01-08 14:22:51,1
700340,Yen Barlow,4010.97,2013-07-17 15:47:26,1
700341,Bert Bush,7726.61,2010-07-27 20:49:00,0
700342,Shaine Mendez,9080.81,2012-07-15 16:53:10,1
700343,Sharon Wilcox,4671.13,2010-06-16 16:31:26,1
700344,Hiram Cunningham,7049.07,2014-07-19 04:47:52,0
700345,Ayanna Glass,1572.64,2010-07-09 04:40:27,1
700346,Neil Weeks,3701.12,2017-08-11 15:07:04,0
700347,Fay Greer,7849.48,2016-11-20 01:44:33,1
700348,Dillon Walls,9880.57,2014-02-18 08:19:19,1
700349,Marny Bartlett,9188.27,2017-03-15 18:29:26,1
700350,Neil Nguyen,6426.97,2011-05-28 21:48:26,1
700351,Kylynn Alford,7552.76,2017-01-30 17:45:23,1
700352,Kennedy Sargent,7519.96,2015-08-18 22:54:14,1
700353,David Gross,2111.01,2011-02-12 04:01:13,0
700354,Sybill Jackson,6951.40,2017-10-09 15:56:25,0
700355,Tucker Wells,3401.23,2016-05-12 12:40:49,0
700356,Petra Conway,7835.41,2011-05-06 05:41:10,0
700357,Wylie Booth,8969.82,2017-03-18 09:30:10,1
700358,Finn Pratt,6041.17,2012-06-25 07:06:03,0
700359,Reese Randolph,1977.45,2011-07-12 21:34:46,1
700360,Jason Herring,2392.57,2016-04-17 12:08:01,1
700361,Gretchen Stokes,7274.67,2014-10-12 15:39:25,1
700362,Jane Brooks,3757.69,2013-08-10 09:57:11,1
700363,Kylie Beck,8892.07,2015-04-06 02:14:35,0
700364,Ignacia Watkins,7345.21,2014-05-21 12:33:09,1
700365,Alden Galloway,2923.53,2016-01-21 03:49:41,1
700366,Evelyn Mullen,5177.83,2011-11-18 12:59:48,1
700367,Jessica Guthrie,5963.93,2017-01-24 21:05:40,1
700368,Eric Frost,8256.62,2010-10-23 06:54:00,1
700369,Ciaran Richard,2016.59,2012-02-05 13:57:57,1
700370,Clinton Britt,4054.88,2011-01-14 21:21:44,1
700371,Tamara Ross,8097.82,2011-08-16 11:21:03,1
700372,Hyatt Howard,3913.87,2010-09-04 10:02:08,0
700373,Nevada Branch,5365.66,2010-10-09 10:23:24,1
700374,Yoko Church,8126.45,2017-11-09 07:14:04,0
700375,Jeanette Nicholson,5148.80,2014-02-04 11:52:36,0
700376,Yetta Shields,6150.71,2013-07-07 12:43:50,0
700377,Carissa Rose,3111.45,2015-04-15 21:45:37,1
700378,Farrah Haney,4504.48,2015-05-26 14:52:28,0
700379,Garrett Ford,5343.78,2013-09-21 12:34:46,1
700380,Benedict Walls,6079.98,2017-10-21 06:54:12,1
700381,Joshua Kelley,8255.53,2016-10-11 14:10:02,0
700382,Nehru Leonard,7976.91,2016-02-05 01:41:42,0
700383,Alice Hensley,103.96,2017-03-11 04:44:24,1
700384,Cole Rasmussen,7875.02,2017-12-22 01:14:11,0
700385,Cheyenne Burks,7956.91,2011-03-12 05:03:32,0
700386,Castor Morton,6645.10,2016-07-08 23:08:57,0
700387,Hyatt Miranda,9265.50,2015-03-17 04:52:57,1
700388,Joshua Blanchard,3292.05,2012-05-15 16:50:39,1
700389,Michael Farrell,9632.75,2013-07-15 11:23:02,0
700390,Thor Cote,3956.46,2017-02-02 15:54:21,1
700391,Kendall Hatfield,538.83,2013-09-29 02:00:17,1
700392,Shannon Logan,2535.17,2013-01-21 02:44:23,1
700393,Hadassah Simpson,9354.93,2011-07-12 15:22:18,1
700394,Kasper Fulton,7389.88,2012-03-15 22:27:22,1
700395,Harding Noel,8836.34,2013-12-18 15:49:06,1
700396,Audra Weeks,630.69,2013-05-09 08:41:13,0
700397,Anjolie Reynolds,4310.43,2014-07-21 12:51:14,1
700398,Aspen Mayo,3797.60,2012-12-19 16:14:19,1
700399,Gannon Beach,2398.38,2016-09-07 20:46:29,1
700400,Audrey Sellers,1645.67,2011-01-25 07:55:44,1
700401,Merritt Nunez,3916.95,2013-04-25 21:35:29,0
700402,Clare Lee,5164.41,2017-03-01 16:10:15,1
700403,Kirk Bolton,8422.47,2014-10-28 21:56:16,1
700404,Kaye Taylor,3816.31,2015-08-28 07:38:15,0
700405,Lee Jones,1096.91,2011-12-20 01:13:28,1
700406,Geraldine Thompson,3301.82,2010-05-09 17:00:18,0
700407,Valentine Horn,1701.33,2011-08-20 12:31:37,1
700408,Ava Schmidt,4600.22,2010-10-31 06:24:41,0
700409,Miriam Wise,5735.79,2018-01-04 06:48:01,1
700410,Orla Hoover,5435.58,2012-03-14 19:44:29,1
700411,Alma Delgado,4281.68,2018-01-23 20:16:29,1
700412,Plato Best,6239.85,2016-08-03 07:04:19,1
700413,Stuart Conner,845.32,2012-11-06 13:47:23,0
700414,Tucker Webster,713.22,2012-06-25 18:08:38,0
700415,Shellie Oneal,8267.74,2014-05-11 16:06:19,1
700416,Marvin Griffith,4959.92,2017-03-18 00:07:13,0
700417,Ariana Stein,3977.54,2010-11-25 00:39:58,1
700418,Ronan Booth,1054.69,2012-01-12 13:58:43,0
700419,Darryl Banks,6571.83,2017-01-17 13:23:55,1
700420,Lars Blair,8109.85,2017-07-25 11:03:14,1
700421,Dorothy Silva,338.43,2016-05-25 08:39:25,1
700422,Chadwick Farley,17.41,2013-03-14 03:22:54,0
700423,Joan Webster,4252.53,2012-12-25 12:41:09,0
700424,Rana Graham,5440.88,2014-02-05 09:34:40,1
700425,Lucius Allen,9905.03,2014-03-10 18:05:26,1
700426,Caesar Velazquez,5113.75,2014-11-27 20:10:26,0
700427,James Coleman,4107.76,2015-04-26 21:08:44,1
700428,Aurelia White,6331.51,2013-11-12 11:14:09,0
700429,Iris Roberts,8604.86,2015-08-01 15:02:08,0
700430,Eve Hess,1239.90,2013-05-21 05:33:11,1
700431,Sydnee Dennis,7045.96,2018-04-12 07:46:14,0
700432,Quinn Gray,2367.45,2011-10-23 02:16:19,0
700433,Dorian Morales,1022.96,2011-03-19 06:56:28,0
700434,Tatiana Head,5745.04,2012-09-07 14:20:36,1
700435,Jada Robinson,4428.84,2015-11-24 04:27:42,0
700436,Travis Benson,1240.94,2012-04-13 19:15:56,1
700437,Angela Oconnor,9886.91,2016-03-16 10:13:49,1
700438,Fuller Stein,5918.30,2017-12-01 02:58:23,1
700439,Florence Hull,1896.02,2016-04-25 16:17:00,0
700440,Lee Curry,806.00,2016-01-11 11:22:37,0
700441,Amery Garrett,2404.12,2011-07-17 12:09:25,1
700442,Noble Johnston,2340.49,2013-03-22 17:21:21,1
